Subject,Methods,Condition1,Task,Condition2,Label,Mental,Physical,Temporal,Task Complexity,Stress,Distractions,Performance,Effort,Frustration,Component1,Component2,Component3,Component4,Component5,Component6,Component7,Component8,Component9,mds1,mds2
1,1,CL,1,Clock,1,10,10,20,30,35,5,20,35,10,-1.828012011,0.287171018,0.07001319,0.32991045,-0.276800738,-0.014722018,-0.086965876,0.809536242,-0.246509362,0.053977,-0.37841
1,1,CL,2,Peg,2,10,10,30,40,45,0,20,5,15,-1.789824831,0.644639915,0.635940357,0.317096432,-1.050022467,0.341000106,-0.860502512,0.850176952,-0.214340186,0.163543,0.163622
1,2,PL,1,Clock,3,80,80,30,70,35,80,60,75,70,3.320866173,2.506150094,-3.069648269,-1.884695275,1.198292205,-0.022641842,0.33462986,-0.758670365,-0.565799037,0.161831,-0.439561
1,2,PL,2,Peg,4,75,65,15,35,65,95,70,80,70,3.141431218,3.397306686,-4.484338955,-0.856566279,0.925090439,-0.386518702,0.90166654,-0.196277834,-0.005070801,-0.439425,0.119645
1,3,UL,1,Clock,5,30,35,20,30,20,35,25,40,25,-0.749028586,1.383225055,-1.174007261,-0.539028117,0.513453199,0.082608648,0.145125229,-0.219366597,-0.295529809,0.052721,-0.393311
1,3,UL,2,Peg,6,50,25,20,30,25,30,25,40,25,-0.600019712,1.182628419,-0.932603398,-0.620793485,0.147499599,-0.453223783,0.124062709,-0.207486691,0.218816891,-0.346828,-0.257818
1,4,VL,1,Clock,7,60,25,30,40,25,45,35,5,45,-0.085761401,2.211459208,-1.435918599,-1.047853986,-0.447626131,-0.312199184,-0.961114847,-0.84171911,0.129546918,-0.342048,0.239428
1,4,VL,2,Peg,8,80,40,25,50,30,65,45,60,40,1.471034579,2.186641874,-2.453377828,-1.555781645,0.899277303,-0.902490554,0.053830622,-0.401186096,0.17162108,-0.442114,-0.060047
2,1,CL,1,Clock,9,35,10,0,55,10,0,20,20,10,-1.960696537,-0.400946459,0.202508078,-1.267582762,-0.702191698,-0.029830785,-0.418044183,0.328109753,0.00201905,-0.110077,-0.39747
2,1,CL,2,Peg,10,55,0,0,55,10,0,40,60,10,-1.144881027,-1.320782611,-0.263252413,-1.093443322,-0.143572914,-0.941464061,-0.056075962,0.498715602,0.384359421,-0.368309,0.295466
2,2,PL,1,Clock,11,60,60,10,60,10,0,85,85,10,0.677271377,-2.016307239,-0.469291404,-0.914153011,0.984440156,0.723109082,0.207714727,0.267873832,0.890752132,-0.144414,0.300496
2,2,PL,2,Peg,12,60,60,0,60,10,0,75,85,10,0.460487318,-1.964398059,-0.484923687,-1.150130544,0.826026353,0.702392451,0.54362049,0.323702132,0.821797674,-0.237498,-0.273039
2,3,UL,1,Clock,13,10,10,10,10,10,0,35,85,10,-1.87275593,-1.168074057,-0.524814747,0.787984008,0.837613126,-0.42942374,0.916865626,0.329597936,-0.173130824,0.22662,-0.298338
2,3,UL,2,Peg,14,60,10,0,60,10,0,25,85,10,-0.718888785,-1.462549412,0.024036323,-1.298416943,0.305027586,-1.165815396,0.739340291,0.592937767,0.13409366,-0.047112,0.006832
2,4,VL,1,Clock,15,85,10,10,85,10,0,75,85,25,0.775302414,-2.29956621,-0.446080231,-1.569858791,0.073431977,-1.190702203,-0.452815542,0.428280481,0.569082888,0.23916,0.106087
2,4,VL,2,Peg,16,70,10,10,70,25,0,90,85,25,0.717321957,-2.218088413,-0.841298493,-0.690150498,-0.023453094,-0.836152992,-0.454091006,0.770441895,0.707122415,0.215789,0.120642
3,1,CL,1,Clock,17,10,0,0,10,5,5,5,5,5,-3.456774138,0.481030537,-0.170281056,-0.208160745,-0.55755343,0.051473093,-0.133828722,-0.148559042,0.041768877,0.135223,-0.433846
3,1,CL,2,Peg,18,5,5,5,5,10,5,5,5,5,-3.397520137,0.649329231,-0.090885785,0.098788107,-0.490594906,0.238233163,-0.075517193,-0.111984851,0.034152987,0.415444,0.136883
3,2,PL,1,Clock,19,5,5,5,15,20,5,30,30,20,-2.38143645,-0.055868035,-0.607214512,0.449636352,-0.477123332,0.122065065,-0.022670883,0.210167008,-0.205062774,-0.177766,0.411636
3,2,PL,2,Peg,20,10,5,5,20,15,5,45,40,15,-2.111419456,-0.509453517,-0.820822885,0.341380829,-0.131861737,0.060750989,-0.1794618,0.283311975,-0.027361488,-0.419249,-0.282829
